episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
1,easy,-12.03,36,0,-50,0,0.865638,0.35,-12.03,0.0,9,12,33.33
2,easy,292.56,75,2,50,0,0.640895,0.74,140.26,1.0,26,19,52.0
3,easy,613.28,144,3,200,1,0.359858,1.19,297.94,1.67,47,37,50.69
4,easy,643.96,46,3,230,4,0.299268,0.48,384.44,2.0,5,27,76.09
5,easy,586.08,57,3,180,2,0.238146,0.48,424.77,2.2,10,26,66.67
6,easy,649.11,42,3,230,4,0.20125,0.49,462.16,2.33,3,26,83.33
7,easy,487.48,110,3,105,0,0.129498,0.9,465.78,2.43,51,25,70.91
8,easy,145.77,63,1,5,0,0.100601,0.48,425.78,2.25,26,14,69.84
9,easy,582.21,42,3,210,1,0.085015,0.31,443.16,2.33,7,24,85.71
10,easy,186.21,158,1,10,0,0.05,1.02,417.46,2.2,79,12,58.86
11,easy,218.87,135,1,5,0,0.05,1.21,399.41,2.09,28,13,50.37
12,easy,636.27,43,3,210,3,0.05,0.36,419.15,2.17,4,26,76.74
13,easy,198.39,86,1,5,0,0.05,0.7,402.17,2.08,11,11,59.3
14,easy,290.92,144,1,5,0,0.05,1.34,394.22,2.0,6,11,54.86
15,easy,637.77,31,3,230,4,0.05,0.31,410.46,2.07,0,22,93.55
16,easy,592.39,45,3,200,1,0.05,0.41,421.83,2.12,2,25,80.0
17,easy,626.0,31,3,230,3,0.05,0.27,433.84,2.18,2,21,90.32
18,easy,620.76,31,3,220,3,0.05,0.37,444.22,2.22,0,22,93.55
19,easy,609.76,30,3,215,3,0.05,0.28,452.93,2.26,1,21,93.33
20,easy,593.36,37,3,220,2,0.05,0.32,459.96,2.3,8,22,97.3
21,easy,701.74,79,3,230,4,0.05,0.59,471.47,2.33,10,26,72.15
22,easy,439.63,88,3,55,0,0.05,0.61,470.02,2.36,47,25,81.82
23,easy,620.2,91,3,215,3,0.05,0.74,476.55,2.39,46,25,87.91
24,easy,299.2,30,2,45,0,0.05,0.27,469.16,2.38,6,14,73.33
25,easy,253.97,28,2,50,0,0.05,0.23,460.55,2.36,13,9,96.43
26,easy,644.31,49,3,210,3,0.05,0.46,467.62,2.38,2,26,77.55
27,easy,630.66,38,3,230,3,0.05,0.38,473.66,2.41,3,24,81.58
28,easy,641.89,70,3,215,4,0.05,0.69,479.67,2.43,21,24,80.0
29,easy,294.52,39,2,30,0,0.05,0.33,473.28,2.41,10,18,69.23
30,easy,596.05,51,3,195,2,0.05,0.45,477.38,2.43,10,22,76.47
31,easy,630.28,41,3,210,3,0.05,0.35,482.31,2.45,2,25,82.93
32,easy,607.26,47,3,200,2,0.05,0.53,486.21,2.47,6,23,76.6
33,easy,271.49,49,2,50,0,0.05,0.46,479.71,2.45,28,12,91.84
34,easy,599.59,44,3,220,2,0.05,0.45,483.23,2.47,13,22,90.91
35,easy,451.01,37,3,85,0,0.05,0.34,482.31,2.49,4,20,78.38
36,easy,600.47,43,3,195,3,0.05,0.39,485.59,2.5,6,24,81.4
