episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
1,hard,239.23,60,1,-5,0,0.941736,3.98,239.23,1.0,4,27,53.33
2,hard,73.07,46,0,-45,0,0.899377,3.07,156.15,0.5,6,26,47.83
3,hard,290.01,124,1,10,0,0.794442,8.45,200.77,0.67,22,35,49.19
4,hard,278.29,82,1,-15,0,0.731867,5.29,220.15,0.75,7,35,53.66
5,hard,318.47,116,1,-35,0,0.651672,7.9,239.81,0.8,25,45,56.03
6,hard,274.24,93,1,-35,0,0.593772,8.06,245.55,0.83,15,35,60.22
7,hard,225.3,43,1,10,0,0.568768,3.12,242.66,0.86,5,25,62.79
8,hard,368.93,108,1,0,0,0.510515,7.73,258.44,0.88,12,46,58.33
9,hard,524.51,177,2,5,0,0.427661,12.25,288.01,1.0,27,50,57.06
10,hard,557.53,202,2,25,0,0.349404,16.7,314.96,1.1,60,55,58.42
11,hard,235.56,55,1,-25,0,0.330697,3.35,307.74,1.09,9,33,56.36
12,hard,202.46,41,1,0,0,0.317406,2.73,298.97,1.08,0,19,63.41
13,hard,297.81,77,1,0,0,0.293872,5.3,298.88,1.08,6,36,59.74
14,hard,322.68,79,1,0,0,0.271538,6.96,300.58,1.07,3,44,56.96
15,hard,331.14,139,1,0,0,0.236284,10.82,302.62,1.07,32,36,58.99
16,hard,707.78,477,1,-5,0,0.146613,30.29,327.94,1.06,168,64,59.33
17,hard,500.86,218,2,55,0,0.117882,13.91,338.11,1.12,73,44,58.72
18,hard,448.81,245,1,10,0,0.092256,16.32,344.26,1.11,33,40,48.16
19,hard,327.67,116,1,10,0,0.082147,8.11,343.39,1.11,12,40,53.45
20,hard,281.13,114,1,5,0,0.073292,7.25,340.27,1.1,10,28,50.88
21,hard,679.23,279,2,30,0,0.05544,17.29,356.41,1.14,64,66,58.06
22,hard,430.59,112,2,55,0,0.049563,6.94,359.79,1.18,15,38,51.79
23,hard,302.49,85,1,-10,0,0.045523,6.3,357.3,1.17,8,41,60.0
24,hard,370.17,111,1,5,0,0.040738,7.02,357.83,1.17,12,48,58.56
25,hard,206.6,50,1,5,0,0.03875,3.27,351.78,1.16,2,21,60.0
26,hard,660.86,417,1,15,0,0.025532,26.99,363.67,1.15,37,40,47.72
