episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
1,medium,292.98,97,2,35,0,0.784426,2.52,292.98,2.0,30,16,45.36
2,medium,144.45,56,1,-10,0,0.681827,1.39,218.72,1.5,19,19,41.07
3,medium,302.78,42,2,30,0,0.613785,0.9,246.74,1.67,8,21,57.14
4,medium,313.64,69,2,55,0,0.516424,1.35,263.46,1.75,21,18,62.32
5,medium,594.64,207,3,95,0,0.307594,3.89,329.7,2.0,79,34,62.32
6,medium,796.08,381,3,65,0,0.118521,6.82,407.43,2.17,71,38,56.43
7,medium,584.65,166,3,105,0,0.078223,3.26,432.75,2.29,23,33,54.22
8,medium,469.85,194,2,65,0,0.048133,4.59,437.39,2.25,13,14,52.06
9,medium,1100.89,184,5,260,1,0.030368,4.04,511.11,2.56,10,61,63.04
10,medium,489.61,74,3,85,0,0.03,1.77,508.96,2.6,5,25,60.81
11,medium,372.27,193,2,50,0,0.03,4.53,496.53,2.55,91,23,55.96
12,medium,701.54,144,4,95,0,0.03,3.12,513.62,2.67,10,29,59.72
13,medium,974.11,147,5,240,1,0.03,3.66,549.04,2.85,21,41,68.03
14,medium,497.28,75,3,70,0,0.03,1.77,545.34,2.86,15,27,66.67
15,medium,546.07,85,3,95,0,0.03,1.95,545.39,2.87,19,32,72.94
16,medium,496.41,156,3,80,0,0.03,3.45,542.33,2.88,99,22,83.97
17,medium,1049.54,112,5,275,5,0.03,2.6,572.17,3.0,22,45,72.32
18,medium,537.09,64,3,95,0,0.03,1.64,570.22,3.0,8,33,70.31
19,medium,1019.09,83,5,310,5,0.03,1.78,593.84,3.11,7,45,75.9
20,medium,1039.13,152,5,275,1,0.03,4.23,616.11,3.2,20,50,61.84
21,medium,1019.65,118,5,265,1,0.03,3.44,635.32,3.29,14,56,72.03
22,medium,1002.93,108,5,260,2,0.03,2.85,652.03,3.36,8,59,73.15
23,medium,428.43,41,3,80,0,0.03,1.06,642.31,3.35,8,18,75.61
24,medium,559.35,200,3,85,0,0.03,5.6,638.85,3.33,67,31,57.0
25,medium,1038.22,126,5,295,3,0.03,3.04,654.83,3.4,24,56,73.81
26,medium,986.14,103,5,245,2,0.03,2.7,667.57,3.46,9,54,71.84
27,medium,987.6,80,5,260,2,0.03,1.97,679.42,3.52,4,43,77.5
28,medium,545.32,65,3,65,0,0.03,1.54,674.63,3.5,6,34,70.77
29,medium,524.3,65,3,50,0,0.03,1.45,669.45,3.48,11,31,61.54
30,medium,503.53,149,3,70,0,0.03,3.39,663.92,3.47,65,22,70.47
31,medium,545.03,47,3,80,0,0.03,1.27,660.08,3.45,3,31,74.47
32,medium,615.7,222,3,50,0,0.03,4.84,658.7,3.44,56,28,62.16
33,medium,520.91,67,3,70,0,0.03,1.64,654.52,3.42,6,29,67.16
34,medium,546.51,95,3,65,0,0.03,2.42,651.35,3.41,6,29,61.05
35,medium,665.97,198,3,10,0,0.03,4.58,651.76,3.4,45,55,59.09
36,medium,513.08,77,3,100,0,0.03,1.68,647.91,3.39,12,33,58.44
37,medium,281.82,27,2,55,0,0.03,0.62,638.02,3.35,1,12,59.26
38,medium,1070.83,108,5,255,4,0.03,2.65,649.41,3.39,8,47,69.44
39,medium,504.26,67,3,90,0,0.03,1.77,645.68,3.38,8,25,64.18
40,medium,665.51,65,4,100,0,0.03,1.55,646.18,3.4,9,38,75.38
41,medium,417.56,29,3,80,0,0.03,0.61,640.6,3.39,5,17,79.31
42,medium,814.46,86,5,165,0,0.03,2.35,644.74,3.43,19,35,74.42
43,medium,565.88,129,3,75,0,0.03,5.35,642.91,3.42,17,31,51.94
44,medium,515.61,72,3,85,0,0.03,3.2,640.02,3.41,10,33,65.28
45,medium,436.36,30,3,95,0,0.03,0.97,635.49,3.4,3,15,70.0
46,medium,950.5,101,5,230,1,0.03,3.69,642.34,3.43,19,49,78.22
47,medium,979.99,124,5,255,1,0.03,4.56,649.52,3.47,16,43,68.55
48,medium,1023.43,94,5,255,2,0.03,2.68,657.31,3.5,8,52,74.47
49,medium,540.07,70,3,80,0,0.03,1.5,654.92,3.49,6,33,60.0
50,medium,496.23,61,3,85,0,0.03,1.33,651.75,3.48,0,22,62.3
51,medium,669.71,136,4,80,0,0.03,3.02,652.1,3.49,28,36,58.09
52,medium,764.73,40,5,160,0,0.03,0.88,654.26,3.52,5,26,95.0
53,medium,254.73,21,2,50,0,0.03,0.56,646.73,3.49,4,8,80.95
54,medium,1148.87,178,5,240,4,0.03,3.19,656.02,3.52,10,55,62.92
55,medium,1066.3,152,5,245,3,0.03,3.38,663.48,3.55,16,60,63.16
56,medium,1033.43,126,5,245,1,0.03,2.74,670.09,3.57,14,64,64.29
57,medium,621.67,123,3,70,0,0.03,2.66,669.24,3.56,17,40,61.79
58,medium,503.41,63,3,80,0,0.03,1.45,666.38,3.55,11,31,69.84
59,medium,994.55,109,5,265,2,0.03,2.78,671.94,3.58,19,53,67.89
60,medium,847.84,115,5,140,0,0.03,2.46,674.88,3.6,24,43,72.17
61,medium,1006.82,151,5,215,1,0.03,4.83,680.32,3.62,23,59,59.6
62,medium,-44.6,177,0,-60,0,0.03,5.73,668.63,3.56,110,16,32.2
63,medium,524.4,83,3,65,0,0.03,2.05,666.34,3.56,13,29,55.42
64,medium,264.66,19,2,55,0,0.03,0.68,660.06,3.53,0,9,68.42
65,medium,1067.96,126,5,255,3,0.03,3.51,666.34,3.55,8,46,65.87
66,medium,1062.73,135,5,240,4,0.03,3.87,672.34,3.58,13,54,66.67
67,medium,1046.67,111,5,245,2,0.03,3.78,677.93,3.6,5,52,70.27
68,medium,1084.43,100,5,240,4,0.03,3.55,683.91,3.62,6,57,75.0
69,medium,435.57,48,3,70,0,0.03,1.32,680.31,3.61,7,19,56.25
70,medium,477.05,65,3,65,0,0.03,1.4,677.4,3.6,21,29,69.23
71,medium,959.82,157,5,140,0,0.03,3.97,681.38,3.62,9,55,61.78
72,medium,1054.72,92,5,265,2,0.03,3.24,686.57,3.64,8,56,72.83
73,medium,996.73,109,5,245,3,0.03,2.81,690.82,3.66,21,49,72.48
74,medium,493.74,64,3,100,0,0.03,1.54,688.15,3.65,3,22,62.5
75,medium,558.81,102,3,60,0,0.03,2.67,686.43,3.64,12,34,57.84
